식품코드,식품코드명,농진청식품코드
06388,"파, 골파, 생것",F1910010000a
06389,"파, 쪽파, 생것",F1910030000a
06390,"파, 실파, 생것",F1910020000a
06392,"파슬리, 생것",F1930000000a
06394,"파프리카, 빨간색, 생것",F194000C020a
06395,"파프리카, 주황색, 생것",F194000C040a
06396,"파프리카, 노란색, 생것",F194000C010a
06400,"피망, 초록색, 생것",F196000C050a
06401,"피망, 빨간색, 생것",F196000C020a
06402,"호박, 국수호박, 생것",F1980020000a
06404,"호박, 늙은호박, 생것",F1980030000a
06405,"호박, 늙은호박, 말린것",F1990010001a
06407,"호박, 애호박, 생것",F1980050000a
06408,"호박, 애호박, 데친것",F1980050009c
06410,"호박, 쥬키니, 생것",F1980060000a
06412,"호박, 단호박, 생것",F1980040000a
06413,"호박, 단호박, 데친것",F1980040009c
06414,"호박, 잎, 생것",F198000B140a
06415,"호박, 잎, 데친것",F198000B149c
06416,"호박, 잎, 찐것",F198000B149e
06426,"배추, 삶은것",F0870000009b
06427,"배추, 염절임",F087000000Ia
06431,"고추, 청양고추, 생것",F0180080000a
06432,"고추, 오이고추, 생것",F0180060000a
06433,"고추, 풋고추, 생것",F0180000620a
06434,"고춧잎, 말린것",F019000B141a
06435,"냉이, 데친것",F0330000009c
06436,"당귀, 일당귀, 잎, 생것",F040001B140a
06437,"당귀, 참당귀, 잎, 생것",F040004B140a
06443,"배추, 봄동, 데친것",F0870030009c
06460,"브로콜리, 잎, 말린것",F092000B141a
06462,"브로콜리, 가루",F0920000005a
